Date,Open,High,Low,Close
06/05/2020,704.59,704.59,704.59,704.59
06/04/2020,689.32,689.32,689.32,689.32
06/03/2020,672.95,672.95,672.95,672.95
06/02/2020,620.49,620.49,620.49,620.49
06/01/2020,627.36,627.36,627.36,627.36
05/29/2020,613.21,613.21,613.21,613.21
05/28/2020,616.23,616.23,616.23,616.23
05/27/2020,644.14,644.14,644.14,644.14
05/26/2020,624.01,624.01,624.01,624.01
05/25/2020,584.37,584.37,584.37,584.37
05/22/2020,584.37,584.37,584.37,584.37
05/21/2020,596.33,596.33,596.33,596.33
05/20/2020,612.33,612.33,612.33,612.33
05/19/2020,580.35,580.35,580.35,580.35
05/18/2020,579.55,579.55,579.55,579.55
05/15/2020,538.05,538.05,538.05,538.05
05/14/2020,537.91,537.91,537.91,537.91
05/13/2020,521.95,521.95,521.95,521.95
05/12/2020,545.78,545.78,545.78,545.78
05/11/2020,568.24,568.24,568.24,568.24
05/08/2020,593.57,593.57,593.57,593.57
05/07/2020,557.55,557.55,557.55,557.55
05/06/2020,539.98,539.98,539.98,539.98
05/05/2020,543.82,543.82,543.82,543.82
05/04/2020,543.35,543.35,543.35,543.35
05/01/2020,545.35,545.35,545.35,545.35
04/30/2020,580.76,580.76,580.76,580.76
04/29/2020,599.56,599.56,599.56,599.56
04/28/2020,562.62,562.62,562.62,562.62
04/27/2020,553.86,553.86,553.86,553.86
04/24/2020,516.84,516.84,516.84,516.84
04/23/2020,517.59,517.59,517.59,517.59
04/22/2020,483.44,483.44,483.44,483.44
04/21/2020,481.06,481.06,481.06,481.06
04/20/2020,502.32,502.32,502.32,502.32
04/17/2020,533.7,533.7,533.7,533.7
04/16/2020,510.43,510.43,510.43,510.43
04/15/2020,520.45,520.45,520.45,520.45
04/14/2020,539.87,539.87,539.87,539.87
04/13/2020,514.23,514.23,514.23,514.23
04/10/2020,532.47,532.47,532.47,532.47
04/09/2020,532.47,532.47,532.47,532.47
04/08/2020,521.61,521.61,521.61,521.61
04/07/2020,475.31,475.31,475.31,475.31
04/06/2020,453.11,453.11,453.11,453.11
04/03/2020,403.82,403.82,403.82,403.82
04/02/2020,428.77,428.77,428.77,428.77
04/01/2020,437.32,437.32,437.32,437.32
03/31/2020,465.55,465.55,465.55,465.55
